date	AAPL US Equity	FB US Equity	IBM US Equity	C US Equity	ORCL US Equity	KO US Equity	T US Equity	BAC US Equity	AMZN US Equity	JPM US Equity	PG US Equity	CVX US Equity	WMT US Equity	WFC US Equity	GE US Equity	BRK/A US Equity	CSCO US Equity	MSFT US Equity	GOOG US Equity	XOM US Equity	Merck & co 
19960331	3038012672		60038402048		22679904256	1.034E+11	32056979456				58168078336	36629811200	46719873024		1.29253E+11	38295298048	22865649664	61359374336		1.01229E+11	76116434944
19960630	2599485184		52221906944		21724235776	1.22197E+11	30007820288				62127968256	38512132096	54769250304		1.43246E+11	40383049728	29818920960	71714627584		1.07886E+11	78122065920
19960930	2777839360		64434479104		23170177024	1.26626E+11	29051176960				66485252096	40857927680	55073280000		1.49824E+11	37166231552	33253496832	78729371648		1.03378E+11	84756905984
19961231	2881028096		76959121408		32237686784	1.30562E+11	47369969664				73131188224	42468270080	60787154944		1.62604E+11	38924873728	38885363712	98984747008		1.21733E+11	96075685888
19970331	2354665728		68154920960	30768707584	25646342144	1.38227E+11	47891759104				77926719488	45497499648	54268751872		1.62094E+11	41964224512	45403398144	1.092E+11		1.33773E+11	1.01903E+11
19970630	1858835328		88649056256	30768707584	30398566400	1.68649E+11	56550473728		441391488		95400255488	48406159360	63693729792		2.12296E+11	44621672448	30887280640	1.52156E+11		1.51533E+11	1.23627E+11
19970930	2726913024		1.0305E+11	30768707584	37381484544	1.50879E+11	56312877056		1242159104		92895969280	54551515136	84504788992		2.2275E+11	58149101568	53452701696	1.59701E+11		1.57978E+11	1.20159E+11
19971231	1704252928		1.0024E+11	1.36846E+11	32778299392	1.6476E+11	71579901952		1455158016		1.07092E+11	50506690560	78606745600		2.39539E+11	55268552704	54153502720	1.56522E+11		1.50338E+11	1.26527E+11
19980331	3582445056		98982690816	1.36846E+11	23971502080	1.91329E+11	79752724480	1.26017E+11	2066691584		1.13172E+11	52527935488	89219809280	66934534144	2.80801E+11	61380763648	58749353984	2.19633E+11		1.65464E+11	1.53288E+11
19980630	3752630016		1.07127E+11	1.38253E+11	22995085312	2.10934E+11	73491521536	1.33071E+11	4954582528		1.21787E+11	54807961600	1.13043E+11	60419174400	2.95679E+11	83422601216	74470203392	2.67686E+11		1.74041E+11	1.59754E+11
19980930	5238728704		1.18586E+11	85329567744	19377356800	1.41887E+11	86798213120	93199032320	5885493760		94304641024	54842982400	1.42211E+11	58338467840	2.59988E+11	97228382208	1.02703E+11	2.73836E+11		1.71706E+11	1.53019E+11
